"cost",55
"couple",55
"democrat",55
"eastturkistan",55
"hurt",55
"investigation",55
"lose",55
"magnitskyact",55
"morning",55
"named",55
"nature",55
"picture",55
"prc",55
"saveuyghur",55
"shouldn",55
"tapos",55
"worried",55
"actions",54
"camp",54
"fire",54
"idiots",54
"major",54
"message",54
"photo",54
"plague",54
"putting",54
"sending",54
"student",54
"systems",54
"tho",54
"waiting",54
"actual",53
"bats",53
"birthday",53
"bit",53
"book",53
"border",53
"break",53
"bullshit",53
"feeling",53
"form",53
"hongkongpolicestate",53
"illegal",53
"independent",53
"murderers",53
"obvious",53
"online",53
"pala",53
"skin",53
"todo",53
"university",53
"victims",53
"wuhansars",53
"campaign",52
"daw",52
"devilccp",52
"everyday",52
"excuse",52
"gun",52
"horrible",52
"nalang",52
"nie",52
"petition",52
"quality",52
"sospolyu",52
"street",52
"weapons",52
"wuhanoutbreak",52
"chinawuhanvirus",51
"defeat",51
"difference",51
"disaster",51
"enjoy",51
"freedomhk",51
"freeuyghur",51
"haven",51
"honestly",51
"language",51
"mad",51
"milkteaalliance",51
"paying",51
"politicians",51
"resist",51
"solo",51
"train",51
"trusted",51
"values",51
"water",51
"wet",51
"alert",50
"amazing",50
"autonomy",50
"boycotthkgoverment",50
"california",50
"century",50
"chi",50
"couldn",50
"democratshateamerica",50
"destroyed",50
"destroying",50
"easy",50
"flights",50
"helped",50
"immediately",50
"kick",50
"meat",50
"return",50
"rise",50
"shot",50
"tests",50
"brainwashed",49
"coronaviruschina",49
"cultural",49
"ethnic",49
"fine",49
"foxnews",49
"gui",49
"humans",49
"liberty",49
"manufacturing",49
"narendramodi",49
"nba",49
"prevent",49
"realize",49
"republic",49
"science",49
"special",49
"treatment",49
"bought",48
"brutality",48
"cure",48
"eastern",48
"healthy",48
"holdchinaaccountable",48
"internet",48
"joebiden",48
"leadership",48
"link",48
"loss",48
"nyc",48
"pandemia",48
"restaurant",48
"surveillance",48
"tas",48
"thai",48
"thugs",48
"tiananmen",48
"tong",48
"victim",48
"wuhanvirusmadeinchina",48
"wuhanviruspic",48
"age",47
"ahead",47
"blamechina",47
"calls",47
"cares",47
"conspiracy",47
"deserve",47
"fair",47
"fast",47
"globe",47
"ignorant",47
"madeinchina",47
"maher",47
"main",47
"massive",47
"mess",47
"nako",47
"newyork",47
"result",47
"rica",47
"role",47
"vietnam",47
"wag",47
"wasn",47
"alive",46
"april",46
"biden",46
"born",46
"bro",46
"condemn",46
"era",46
"explain",46
"hai",46
"industry",46
"mention",46
"panic",46
"pop",46
"pr",46
"rape",46
"reporting",46
"rice",46
"rich",46
"road",46
"secpompeo",46
"simply",46
"starting",46
"taiwancanhelp",46
"tested",46
"vaka",46
"view",46
"visit",46
"add",45
"admit",45
"apple",45
"awards",45
"brave",45
"chinaviruspic",45
"citizen",45
"color",45
"crap",45
"crush",45
"dictator",45
"female",45
"focus",45
"fund",45
"hongkonghumanrightsanddemocracyact",45
"hundreds",45
"powerful",45
"sanctions",45
"simple",45
"supporters",45
"tech",45
"tedrosresign",45
"type",45
"version",45
"xitler",45
"agenda",44
"bakit",44
"battle",44
"build",44
"burn",44
"choice",44
"congratulations",44
"damages",44
"foreignvirus",44
"german",44
"handle",44
"healthcare",44
"openamericanow",44
"period",44
"restaurants",44
"retweet",44
"song",44
"spanish",44
"stayathomeorder",44
"steal",44
"takes",44
"antichina",43
"boycottblizzard",43
"busy",43
"chink",43
"club",43
"coronavirusupdates",43
"dapat",43
"decided",43
"distancing",43
"facing",43
"fans",43
"humanitariancrisis",43
"kita",43
"largest",43
"leading",43
"lots",43
"mall",43
"names",43
"notice",43
"prove",43
"review",43
"rules",43
"sarscov",43
"sos",43
"target",43
"xhnews",43
"aid",42
"bunch",42
"chicken",42
"communities",42
"coronavirususa",42
"criminals",42
"defend",42
"dollars",42
"education",42
"exist",42
"families",42
"fellow",42
"hiding",42
